stage,pair_id,a_node_id,b_node_id,trunk_mode,left_turn_excluded_mode,segment_body_road_count,residual_road_count
Step2,S2:1001432__1019757,1001432,1019757,counterclockwise_loop,strict,5,4
Step2,S2:1004423__1029726,1004423,1029726,counterclockwise_loop,strict,2,2
Step2,S2:1010472__36944312,1010472,36944312,counterclockwise_loop,strict,4,0
Step2,S2:1010487__1019757,1010487,1019757,counterclockwise_loop,strict,7,9
Step2,S2:1029586__1029591,1029586,1029591,counterclockwise_loop,strict,1,0
Step2,S2:1029588__1029590,1029588,1029590,counterclockwise_loop,strict,1,5
Step2,S2:1029588__1029591,1029588,1029591,counterclockwise_loop,strict,1,0
Step2,S2:1029591__1046363,1029591,1046363,counterclockwise_loop,strict,1,0
Step2,S2:1046363__58609291,1046363,58609291,counterclockwise_loop,strict,1,4
Step2,S2:953144__1010472,953144,1010472,counterclockwise_loop,strict,9,8
Step2,S2:953144__1019746,953144,1019746,counterclockwise_loop,strict,2,0
Step2,S2:953144__1029576,953144,1029576,counterclockwise_loop,strict,5,6
Step2,S2:953144__38724646,953144,38724646,counterclockwise_loop,strict,4,7
Step4,STEP4:1004423__1029724,1004423,1029724,counterclockwise_loop,strict,1,0
Step4,STEP4:1010471__1010472,1010471,1010472,through_collapsed_corridor,strict,2,0
Step4,STEP4:1019746__1029726,1019746,1029726,counterclockwise_loop,strict,2,0
Step4,STEP4:1019837__1026461,1019837,1026461,counterclockwise_loop,strict,2,1
Step4,STEP4:1029585__1029586,1029585,1029586,counterclockwise_loop,strict,2,6
Step4,STEP4:1029593__1046363,1029593,1046363,counterclockwise_loop,strict,2,0
Step4,STEP4:1029725__1029726,1029725,1029726,counterclockwise_loop,strict,1,0
Step4,STEP4:1049344__1049345,1049344,1049345,counterclockwise_loop,strict,1,0
Step4,STEP4:1049344__1049346,1049344,1049346,counterclockwise_loop,strict,3,1
Step4,STEP4:1049357__58609291,1049357,58609291,counterclockwise_loop,strict,1,0
Step4,STEP4:58609291__505587966,58609291,505587966,counterclockwise_loop,strict,1,0
Step4,STEP4:953118__1049344,953118,1049344,counterclockwise_loop,strict,2,0
Step4,STEP4:953133__1029590,953133,1029590,counterclockwise_loop,strict,1,0
Step5,STEP5A:1001716__1010487,1001716,1010487,counterclockwise_loop,strict,4,2
Step5,STEP5A:1001766__1039877,1001766,1039877,counterclockwise_loop,strict,2,0
Step5,STEP5A:1020138__58172328,1020138,58172328,counterclockwise_loop,strict,1,0
Step5,STEP5A:47215427__612640212,47215427,612640212,counterclockwise_loop,strict,1,3
Step5,STEP5B:1001070__612640212,1001070,612640212,counterclockwise_loop,strict,1,0
Step5,STEP5B:1004746__612640212,1004746,612640212,counterclockwise_loop,strict,1,0
Step5,STEP5B:1007732__1019835,1007732,1019835,counterclockwise_loop,strict,1,0
Step5,STEP5B:1014253__1036655,1014253,1036655,counterclockwise_loop,strict,1,0
Step5,STEP5B:1029592__1040012,1029592,1040012,counterclockwise_loop,strict,1,0
Step5,STEP5B:1029723__58172328,1029723,58172328,counterclockwise_loop,strict,1,0
Step5,STEP5B:21787603__47215427,21787603,47215427,counterclockwise_loop,strict,1,0
Step5,STEP5B:55482321__57718942,55482321,57718942,counterclockwise_loop,strict,2,0
