stage,pair_id,road_id,layer_role,trunk_mode
STEP5A,STEP5A:1019750__1032756,39002833,segment_body,counterclockwise_loop
STEP5A,STEP5A:1019750__1032756,627799526,segment_body,counterclockwise_loop
STEP5A,STEP5A:1032756__58609494,64919101,segment_body,counterclockwise_loop
STEP5A,STEP5A:954073__954075,1268462,segment_body,counterclockwise_loop
STEP5A,STEP5A:998026__504823624,628261220,segment_body,counterclockwise_loop
STEP5A,STEP5A:998026__504823624,63064467,segment_body,counterclockwise_loop
STEP5B,STEP5B:1010612__36944000,1037046,segment_body,counterclockwise_loop
STEP5B,STEP5B:21696499__89242005,44751208,segment_body,counterclockwise_loop
STEP5B,STEP5B:58588932__622222942,627108490,segment_body,counterclockwise_loop
STEP5B,STEP5B:58588932__622222942,627108493,segment_body,counterclockwise_loop
STEP5B,STEP5B:950676__505668806,1253343,segment_body,counterclockwise_loop
Step2,S2:950362__953936,39015803,segment_body,counterclockwise_loop
Step2,S2:950362__953936,49574712,segment_body,counterclockwise_loop
Step2,S2:950362__953936,62423954,segment_body,counterclockwise_loop
Step2,S2:950362__997974,1360479,segment_body,counterclockwise_loop
Step2,S2:950362__997974,1360480,segment_body,counterclockwise_loop
Step2,S2:950362__997974,1360485,segment_body,counterclockwise_loop
Step2,S2:950362__997974,15667744,segment_body,counterclockwise_loop
Step2,S2:950362__997974,624221652,segment_body,counterclockwise_loop
Step2,S2:950362__997974,63064482,segment_body,counterclockwise_loop
Step2,S2:950362__998028,112939994,segment_body,counterclockwise_loop
Step2,S2:950362__998028,1361988,segment_body,counterclockwise_loop
Step2,S2:950362__998028,1361995,segment_body,counterclockwise_loop
Step2,S2:950362__998028,46641070,segment_body,counterclockwise_loop
Step2,S2:950362__998028,49680856,segment_body,counterclockwise_loop
Step2,S2:950362__998028,527837415,segment_body,counterclockwise_loop
Step2,S2:950362__998028,605979845,segment_body,counterclockwise_loop
Step2,S2:950362__998028,618592541,segment_body,counterclockwise_loop
