stage,pair_id,road_id,layer_role,trunk_mode
Step2,S2:1001660__1026888,1046165,trunk,counterclockwise_loop
Step2,S2:1001660__1026888,1079994,trunk,counterclockwise_loop
Step2,S2:1001660__1026888,1079996,trunk,counterclockwise_loop
Step2,S2:1001660__1026888,34915068,trunk,counterclockwise_loop
Step2,S2:1001660__1026888,620058895,trunk,counterclockwise_loop
Step2,S2:1001660__1026888,87801435,trunk,counterclockwise_loop
Step2,S2:1001661__1029909,1033542,trunk,counterclockwise_loop
Step2,S2:1001661__1029909,40154787,trunk,counterclockwise_loop
Step2,S2:1001661__1029909,40154794,trunk,counterclockwise_loop
Step2,S2:1001661__1029909,501979547,trunk,counterclockwise_loop
Step2,S2:1001661__1029909,517304913,trunk,counterclockwise_loop
Step2,S2:1001661__1029909,608979725,trunk,counterclockwise_loop
Step2,S2:1001661__1029915,1052047,trunk,counterclockwise_loop
Step2,S2:1001661__1029915,40154775,trunk,counterclockwise_loop
Step2,S2:1004300__1032602,1048502,trunk,counterclockwise_loop
Step2,S2:1004300__1032602,1048503,trunk,counterclockwise_loop
Step2,S2:1004300__1032602,602642448,trunk,counterclockwise_loop
Step2,S2:1004300__1032602,604643114,trunk,counterclockwise_loop
Step2,S2:1004313__62569870,1029565,trunk,counterclockwise_loop
Step2,S2:1005091__1049570,609104022,trunk,counterclockwise_loop
Step2,S2:1005091__1049570,609104025,trunk,counterclockwise_loop
Step2,S2:1019827__1019848,506064560,trunk,counterclockwise_loop
Step2,S2:1019827__1019848,507979227,trunk,counterclockwise_loop
Step2,S2:1019827__1019848,617819463,trunk,counterclockwise_loop
Step2,S2:1019827__62569870,517231221,trunk,counterclockwise_loop
Step2,S2:1019827__62569870,605188278,trunk,counterclockwise_loop
Step2,S2:1019832__1029630,32440063,trunk,counterclockwise_loop
Step2,S2:1019832__1029630,514212167,trunk,counterclockwise_loop
Step2,S2:1019848__1029909,1035839,trunk,counterclockwise_loop
Step2,S2:1019848__1029909,510929691,trunk,counterclockwise_loop
Step2,S2:1019848__1029909,510979205,trunk,counterclockwise_loop
Step2,S2:1019848__1029909,511608485,trunk,counterclockwise_loop
Step2,S2:1019848__1029909,511695770,trunk,counterclockwise_loop
Step2,S2:1019848__1029909,604185774,trunk,counterclockwise_loop
Step2,S2:1019848__1029909,610411977,trunk,counterclockwise_loop
Step2,S2:1032602__509398477,505642589,trunk,counterclockwise_loop
Step2,S2:1032602__509398477,609643433,trunk,counterclockwise_loop
Step2,S2:1033088__603988368,502423361,trunk,counterclockwise_loop
Step2,S2:1036077__56922710,49550028,trunk,counterclockwise_loop
Step2,S2:1049769__74155507,49603094,trunk,counterclockwise_loop
Step2,S2:56922706__56922707,518810300,trunk,counterclockwise_loop
Step2,S2:56922706__56922707,518810302,trunk,counterclockwise_loop
Step2,S2:56922707__56922710,43025727,trunk,counterclockwise_loop
Step2,S2:62569870__62569871,524211738,trunk,counterclockwise_loop
Step2,S2:994446__994447,1051954,trunk,counterclockwise_loop
Step2,S2:994446__994447,513884467,trunk,counterclockwise_loop
Step2,S2:994449__1004300,1055847,trunk,counterclockwise_loop
Step2,S2:994449__1004300,1055859,trunk,counterclockwise_loop
Step2,S2:994449__1019848,1055861,trunk,counterclockwise_loop
Step2,S2:994449__1019848,49603140,trunk,counterclockwise_loop
Step2,S2:994449__1019848,503412555,trunk,counterclockwise_loop
Step2,S2:994449__1019848,504410959,trunk,counterclockwise_loop
Step2,S2:994449__1019848,506413333,trunk,counterclockwise_loop
Step2,S2:994449__1019848,605412980,trunk,counterclockwise_loop
Step2,S2:994449__1036077,1066623,trunk,counterclockwise_loop
