stage,pair_id,road_id,layer_role,trunk_mode
STEP5A,STEP5A:1001070__612640212,627793737,segment_body,counterclockwise_loop
STEP5A,STEP5A:1001716__1010487,1023609,segment_body,counterclockwise_loop
STEP5A,STEP5A:1001716__1010487,1053902,segment_body,counterclockwise_loop
STEP5A,STEP5A:1001716__1010487,65792208,segment_body,counterclockwise_loop
STEP5A,STEP5A:1001716__1010487,992260,segment_body,counterclockwise_loop
STEP5A,STEP5A:1001766__1039877,1076898,segment_body,counterclockwise_loop
STEP5A,STEP5A:1001766__1039877,524227061,segment_body,counterclockwise_loop
STEP5A,STEP5A:1020138__58172328,1051998,segment_body,counterclockwise_loop
STEP5A,STEP5A:1029723__58172328,46641179,segment_body,counterclockwise_loop
STEP5A,STEP5A:47215427__612640212,617799404,segment_body,counterclockwise_loop
STEP5A,STEP5A:55482321__57718942,43860909,segment_body,counterclockwise_loop
STEP5A,STEP5A:55482321__57718942,62141891,segment_body,counterclockwise_loop
STEP5B,STEP5B:1004746__612640212,627793738,segment_body,counterclockwise_loop
STEP5B,STEP5B:1007732__1019835,74763092,segment_body,counterclockwise_loop
STEP5B,STEP5B:1014253__1036655,528876005,segment_body,counterclockwise_loop
STEP5B,STEP5B:1029592__1040012,1056570,segment_body,counterclockwise_loop
STEP5B,STEP5B:21787603__47215427,58271078,segment_body,counterclockwise_loop
Step2,S2:1001432__1019757,1034092,segment_body,counterclockwise_loop
Step2,S2:1001432__1019757,39002734,segment_body,counterclockwise_loop
Step2,S2:1001432__1019757,502244934,segment_body,counterclockwise_loop
Step2,S2:1001432__1019757,506048540,segment_body,counterclockwise_loop
Step2,S2:1001432__1019757,604979334,segment_body,counterclockwise_loop
Step2,S2:1004423__1029726,517111862,segment_body,counterclockwise_loop
Step2,S2:1004423__1029726,62141882,segment_body,counterclockwise_loop
Step2,S2:1010472__36944312,1027854,segment_body,counterclockwise_loop
Step2,S2:1010472__36944312,15667576,segment_body,counterclockwise_loop
Step2,S2:1010472__36944312,49821232,segment_body,counterclockwise_loop
Step2,S2:1010472__36944312,628752752,segment_body,counterclockwise_loop
Step2,S2:1010487__1019757,619936899,segment_body,counterclockwise_loop
Step2,S2:1010487__1019757,72551975,segment_body,counterclockwise_loop
Step2,S2:1010487__1019757,72551976,segment_body,counterclockwise_loop
Step2,S2:1010487__1019757,74763130,segment_body,counterclockwise_loop
Step2,S2:1010487__1019757,74763138,segment_body,counterclockwise_loop
Step2,S2:1010487__1019757,992253,segment_body,counterclockwise_loop
Step2,S2:1010487__1019757,992258,segment_body,counterclockwise_loop
Step2,S2:1019746__1029726,49603257,segment_body,counterclockwise_loop
Step2,S2:1019746__1029726,62141864,segment_body,counterclockwise_loop
Step2,S2:1029586__1029591,514197870,segment_body,counterclockwise_loop
Step2,S2:1029588__1029590,73248867,segment_body,counterclockwise_loop
Step2,S2:1029588__1029591,1075083,segment_body,counterclockwise_loop
Step2,S2:1029591__1046363,1069111,segment_body,counterclockwise_loop
Step2,S2:1046363__58609291,101224595,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,1023614,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,1088939,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,511995651,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,517301396,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,600104949,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,606407394,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,68049207,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,97267470,segment_body,counterclockwise_loop
Step2,S2:953144__1010472,992232,segment_body,counterclockwise_loop
Step2,S2:953144__1019746,1029680,segment_body,counterclockwise_loop
Step2,S2:953144__1019746,64918605,segment_body,counterclockwise_loop
Step2,S2:953144__1029576,1049612,segment_body,counterclockwise_loop
Step2,S2:953144__1029576,1049615,segment_body,counterclockwise_loop
Step2,S2:953144__1029576,507347808,segment_body,counterclockwise_loop
Step2,S2:953144__1029576,508643868,segment_body,counterclockwise_loop
Step2,S2:953144__1029576,73248852,segment_body,counterclockwise_loop
Step2,S2:953144__38724646,1029652,segment_body,counterclockwise_loop
Step2,S2:953144__38724646,1029659,segment_body,counterclockwise_loop
Step2,S2:953144__38724646,45034082,segment_body,counterclockwise_loop
Step2,S2:953144__38724646,600347379,segment_body,counterclockwise_loop
Step4,STEP4:1004423__1029724,625299119,segment_body,counterclockwise_loop
Step4,STEP4:1010470__1010471,39002786,segment_body,counterclockwise_loop
