stage,pair_id,road_id,layer_role,trunk_mode
Step2,S2:950362__953936,39015803,trunk,counterclockwise_loop
Step2,S2:950362__953936,49574712,trunk,counterclockwise_loop
Step2,S2:950362__953936,62423954,trunk,counterclockwise_loop
Step2,S2:950362__997974,1360479,trunk,counterclockwise_loop
Step2,S2:950362__997974,1360480,trunk,counterclockwise_loop
Step2,S2:950362__997974,1360485,trunk,counterclockwise_loop
Step2,S2:950362__997974,15667744,trunk,counterclockwise_loop
Step2,S2:950362__997974,624221652,trunk,counterclockwise_loop
Step2,S2:950362__997974,63064482,trunk,counterclockwise_loop
Step2,S2:950362__998028,112939994,trunk,counterclockwise_loop
Step2,S2:950362__998028,1361988,trunk,counterclockwise_loop
Step2,S2:950362__998028,1361995,trunk,counterclockwise_loop
Step2,S2:950362__998028,46641070,trunk,counterclockwise_loop
Step2,S2:950362__998028,49680856,trunk,counterclockwise_loop
Step2,S2:950362__998028,527837415,trunk,counterclockwise_loop
Step2,S2:950362__998028,605979845,trunk,counterclockwise_loop
Step2,S2:950362__998028,618592541,trunk,counterclockwise_loop
Step2,S2:950362__998028,86183245,trunk,counterclockwise_loop
Step2,S2:950392__25735305,1366577,trunk,counterclockwise_loop
Step2,S2:950392__25735305,521572289,trunk,counterclockwise_loop
Step2,S2:950392__25735305,620978642,trunk,counterclockwise_loop
Step2,S2:950392__954071,15064358,trunk,counterclockwise_loop
Step2,S2:950392__954071,511699900,trunk,counterclockwise_loop
Step2,S2:950392__997894,1273743,trunk,counterclockwise_loop
Step2,S2:950392__997894,1366573,trunk,counterclockwise_loop
Step2,S2:950392__997894,611702464,trunk,counterclockwise_loop
Step2,S2:950392__997894,621692003,trunk,counterclockwise_loop
Step2,S2:950392__997989,1271385,trunk,counterclockwise_loop
Step2,S2:950392__997989,508984678,trunk,counterclockwise_loop
Step2,S2:950392__997989,521701030,trunk,counterclockwise_loop
Step2,S2:950392__997989,605985642,trunk,counterclockwise_loop
Step2,S2:953920__954077,500949722,trunk,counterclockwise_loop
Step2,S2:953920__954077,72230336,trunk,counterclockwise_loop
Step2,S2:953920__954077,72230337,trunk,counterclockwise_loop
Step2,S2:953920__998028,101210555,trunk,counterclockwise_loop
Step2,S2:953920__998028,1269895,trunk,counterclockwise_loop
Step2,S2:953920__998028,612214131,trunk,counterclockwise_loop
Step2,S2:953920__998028,614225509,trunk,counterclockwise_loop
Step2,S2:953920__998028,71017880,trunk,counterclockwise_loop
Step2,S2:953920__998028,71017888,trunk,counterclockwise_loop
Step2,S2:953936__953945,12827804,trunk,counterclockwise_loop
Step2,S2:953952__954071,1269881,trunk,counterclockwise_loop
Step2,S2:953952__954071,12827745,trunk,counterclockwise_loop
Step2,S2:957119__605984236,525289569,trunk,counterclockwise_loop
Step2,S2:957119__997856,1362049,trunk,counterclockwise_loop
Step2,S2:957177__997989,1271381,trunk,counterclockwise_loop
Step2,S2:957177__997989,33934866,trunk,counterclockwise_loop
Step2,S2:957177__997989,504978117,trunk,counterclockwise_loop
Step2,S2:957177__997989,605985656,trunk,counterclockwise_loop
Step2,S2:957177__998026,104516303,trunk,counterclockwise_loop
Step2,S2:957177__998026,514836095,trunk,counterclockwise_loop
Step2,S2:997855__505589555,600641705,trunk,counterclockwise_loop
Step2,S2:997855__505589555,600641706,trunk,counterclockwise_loop
Step2,S2:997855__505589555,603977420,trunk,counterclockwise_loop
Step2,S2:997855__997856,624212789,trunk,counterclockwise_loop
Step2,S2:997855__997857,1362048,trunk,counterclockwise_loop
Step2,S2:997856__998046,1272173,trunk,counterclockwise_loop
Step2,S2:997857__25735305,611573767,trunk,counterclockwise_loop
Step2,S2:997974__622222942,501640590,trunk,counterclockwise_loop
Step2,S2:997974__998025,49574701,trunk,counterclockwise_loop
Step2,S2:997974__998025,514211719,trunk,counterclockwise_loop
Step2,S2:997974__998025,614214555,trunk,counterclockwise_loop
Step2,S2:997989__998028,104516379,trunk,counterclockwise_loop
Step2,S2:997989__998028,1251197,trunk,counterclockwise_loop
Step2,S2:997989__998028,1263143,trunk,counterclockwise_loop
Step2,S2:997989__998028,40154948,trunk,counterclockwise_loop
Step2,S2:997989__998028,515354469,trunk,counterclockwise_loop
Step2,S2:997989__998028,625350456,trunk,counterclockwise_loop
Step2,S2:997989__998028,71017882,trunk,counterclockwise_loop
Step2,S2:998025__998026,103465196,trunk,counterclockwise_loop
Step2,S2:998025__998026,86183220,trunk,counterclockwise_loop
Step2,S2:998025__998028,104516393,trunk,counterclockwise_loop
Step2,S2:998025__998028,1360465,trunk,counterclockwise_loop
Step2,S2:998025__998028,71017884,trunk,counterclockwise_loop
Step2,S2:998025__998028,71017886,trunk,counterclockwise_loop
Step4,STEP4:950676__505668806,1253343,trunk,counterclockwise_loop
Step4,STEP4:950758__953952,1273695,trunk,counterclockwise_loop
Step4,STEP4:950796__953945,1273733,trunk,counterclockwise_loop
Step4,STEP4:950801__954076,12827769,trunk,counterclockwise_loop
Step4,STEP4:953952__954008,1269880,trunk,counterclockwise_loop
Step4,STEP4:954005__954077,104516432,trunk,counterclockwise_loop
Step4,STEP4:954005__954077,104516439,trunk,counterclockwise_loop
Step4,STEP4:957113__25735328,101210445,trunk,counterclockwise_loop
Step4,STEP4:957113__25735328,46641066,trunk,counterclockwise_loop
Step4,STEP4:957113__25735328,514212426,trunk,counterclockwise_loop
Step4,STEP4:957120__57307357,36724967,trunk,counterclockwise_loop
Step5A,STEP5A:25735305__602863385,524214253,trunk,counterclockwise_loop
Step5A,STEP5A:25735305__602863385,614218046,trunk,counterclockwise_loop
Step5A,STEP5A:953952__957248,44750998,trunk,counterclockwise_loop
Step5A,STEP5A:953952__957248,44751001,trunk,counterclockwise_loop
Step5A,STEP5A:954073__954075,1268462,trunk,counterclockwise_loop
Step5A,STEP5A:957248__1001064,104516273,trunk,counterclockwise_loop
Step5A,STEP5A:957248__1001064,1049609,trunk,counterclockwise_loop
Step5A,STEP5A:998026__504823624,628261220,trunk,counterclockwise_loop
Step5A,STEP5A:998026__504823624,63064467,trunk,counterclockwise_loop
Step5B,STEP5B:21696499__89242005,44751208,trunk,counterclockwise_loop
Step5B,STEP5B:58588932__622222942,627108490,trunk,counterclockwise_loop
Step5B,STEP5B:58588932__622222942,627108493,trunk,counterclockwise_loop
Step5B,STEP5B:957242__12231621,14849774,trunk,counterclockwise_loop
Step5B,STEP5B:996541__511991137,526779904,trunk,counterclockwise_loop
