stage,pair_id,a_node_id,b_node_id,trunk_mode,left_turn_excluded_mode,segment_body_road_count,residual_road_count
Step2,S2:950362__953936,950362,953936,counterclockwise_loop,strict,3,0
Step2,S2:950362__997974,950362,997974,counterclockwise_loop,strict,6,3
Step2,S2:950362__998028,950362,998028,counterclockwise_loop,strict,9,5
Step2,S2:950797__1019747,950797,1019747,counterclockwise_loop,strict,5,4
Step2,S2:950797__1019750,950797,1019750,counterclockwise_loop,strict,5,9
Step2,S2:950797__953920,950797,953920,counterclockwise_loop,strict,7,7
Step2,S2:953920__954077,953920,954077,counterclockwise_loop,strict,3,6
Step2,S2:953920__998028,953920,998028,counterclockwise_loop,strict,6,2
Step2,S2:953923__953936,953923,953936,counterclockwise_loop,strict,3,9
Step2,S2:953923__953948,953923,953948,counterclockwise_loop,strict,4,6
Step2,S2:953936__953945,953936,953945,counterclockwise_loop,strict,1,0
Step2,S2:953948__1019750,953948,1019750,counterclockwise_loop,strict,4,7
Step2,S2:957177__997989,957177,997989,counterclockwise_loop,strict,4,6
Step2,S2:957177__998026,957177,998026,counterclockwise_loop,strict,2,2
Step2,S2:997974__622222942,997974,622222942,counterclockwise_loop,strict,1,8
Step2,S2:997974__998025,997974,998025,counterclockwise_loop,strict,3,2
Step2,S2:997989__998028,997989,998028,counterclockwise_loop,strict,7,10
Step2,S2:998025__998026,998025,998026,counterclockwise_loop,strict,2,2
Step2,S2:998025__998028,998025,998028,counterclockwise_loop,strict,4,0
Step4,STEP4:1001088__1001090,1001088,1001090,counterclockwise_loop,strict,1,0
Step4,STEP4:1001088__1019750,1001088,1019750,counterclockwise_loop,strict,2,3
Step4,STEP4:1010612__36944000,1010612,36944000,counterclockwise_loop,strict,1,0
Step4,STEP4:950676__505668806,950676,505668806,counterclockwise_loop,strict,1,0
Step4,STEP4:950796__953945,950796,953945,counterclockwise_loop,strict,1,0
Step4,STEP4:950800__957257,950800,957257,counterclockwise_loop,strict,2,0
Step4,STEP4:950801__954076,950801,954076,counterclockwise_loop,strict,1,0
Step4,STEP4:954005__954077,954005,954077,counterclockwise_loop,strict,2,0
Step4,STEP4:957113__25735328,957113,25735328,counterclockwise_loop,strict,3,0
Step4,STEP4:957257__1001057,957257,1001057,counterclockwise_loop,strict,1,0
Step5,STEP5A:1019750__1032756,1019750,1032756,counterclockwise_loop,strict,2,0
Step5,STEP5A:954073__954075,954073,954075,counterclockwise_loop,strict,1,0
Step5,STEP5A:998026__504823624,998026,504823624,counterclockwise_loop,strict,2,0
Step5,STEP5B:1032756__58609494,1032756,58609494,counterclockwise_loop,strict,1,0
Step5,STEP5B:21696499__89242005,21696499,89242005,counterclockwise_loop,strict,1,0
Step5,STEP5B:58588932__622222942,58588932,622222942,counterclockwise_loop,strict,2,2
