stage,pair_id,road_id,layer_role,trunk_mode
STEP5A,STEP5A:14423413__502667880,521933472,segment_body,counterclockwise_loop
STEP5A,STEP5A:40237194__40237213,46336878,segment_body,counterclockwise_loop
STEP5A,STEP5A:40237194__40237213,46336884,segment_body,counterclockwise_loop
STEP5A,STEP5A:791713__512702572,9808064,segment_body,counterclockwise_loop
STEP5B,STEP5B:40237164__74463926,502148533,segment_body,counterclockwise_loop
STEP5B,STEP5B:502667880__510667671,621933258,segment_body,counterclockwise_loop
STEP5B,STEP5B:55225239__55225241,527278312,segment_body,counterclockwise_loop
STEP5B,STEP5B:792579__59642115,81638789,segment_body,counterclockwise_loop
Step2,S2:763111__767878,71773898,segment_body,counterclockwise_loop
Step2,S2:763111__767878,71773900,segment_body,counterclockwise_loop
Step2,S2:763111__767878,71773909,segment_body,counterclockwise_loop
Step2,S2:763111__767878,71773917,segment_body,counterclockwise_loop
Step2,S2:763111__767878,71773920,segment_body,counterclockwise_loop
Step2,S2:763111__767878,88099686,segment_body,counterclockwise_loop
Step2,S2:763111__767878,88099693,segment_body,counterclockwise_loop
Step2,S2:763111__767887,46336644,segment_body,counterclockwise_loop
Step2,S2:763111__767887,601156271,segment_body,counterclockwise_loop
Step2,S2:763111__767887,601156283,segment_body,counterclockwise_loop
Step2,S2:763111__767887,601156284,segment_body,counterclockwise_loop
Step2,S2:763111__767887,611603452,segment_body,counterclockwise_loop
Step2,S2:763111__767887,992535,segment_body,counterclockwise_loop
Step2,S2:763111__768595,629819784,segment_body,counterclockwise_loop
Step2,S2:763111__768595,65836016,segment_body,counterclockwise_loop
Step2,S2:763111__768595,71773888,segment_body,counterclockwise_loop
Step2,S2:763111__768595,71773890,segment_body,counterclockwise_loop
Step2,S2:767738__768595,509235032,segment_body,through_collapsed_corridor
Step2,S2:767738__768595,607235228,segment_body,through_collapsed_corridor
Step2,S2:767738__768622,1001390,segment_body,counterclockwise_loop
Step2,S2:767738__768622,44595074,segment_body,counterclockwise_loop
Step2,S2:767738__768622,46336837,segment_body,counterclockwise_loop
Step2,S2:767738__768622,49508761,segment_body,counterclockwise_loop
Step2,S2:767738__768622,49508764,segment_body,counterclockwise_loop
Step2,S2:767738__768622,500588612,segment_body,counterclockwise_loop
Step2,S2:767738__768622,525387193,segment_body,counterclockwise_loop
Step2,S2:767738__768622,58086352,segment_body,counterclockwise_loop
Step2,S2:767738__768622,607590427,segment_body,counterclockwise_loop
Step2,S2:767738__768622,88099778,segment_body,counterclockwise_loop
Step2,S2:767738__784886,1001392,segment_body,counterclockwise_loop
Step2,S2:767738__784886,41670465,segment_body,counterclockwise_loop
Step2,S2:767738__784886,522079232,segment_body,counterclockwise_loop
Step2,S2:767738__784886,605156103,segment_body,counterclockwise_loop
Step2,S2:767738__784886,608155801,segment_body,counterclockwise_loop
Step2,S2:767738__784886,612081868,segment_body,counterclockwise_loop
Step2,S2:767738__784886,71773981,segment_body,counterclockwise_loop
Step2,S2:767878__12823253,18715129,segment_body,counterclockwise_loop
Step2,S2:767878__12823253,18715130,segment_body,counterclockwise_loop
Step2,S2:767878__12823253,601422902,segment_body,counterclockwise_loop
Step2,S2:767878__12823253,619529462,segment_body,counterclockwise_loop
Step2,S2:767878__12823253,628611361,segment_body,counterclockwise_loop
Step2,S2:767878__12823253,88099697,segment_body,counterclockwise_loop
Step2,S2:767878__12823253,88099704,segment_body,counterclockwise_loop
Step2,S2:767878__767887,31760479,segment_body,counterclockwise_loop
Step2,S2:767878__767887,601863948,segment_body,counterclockwise_loop
Step2,S2:767878__767887,615390402,segment_body,counterclockwise_loop
Step2,S2:767878__767887,88099691,segment_body,counterclockwise_loop
Step2,S2:767878__767887,88099698,segment_body,counterclockwise_loop
Step2,S2:767878__767887,9808100,segment_body,counterclockwise_loop
Step2,S2:767887__768622,46336875,segment_body,counterclockwise_loop
Step2,S2:767887__768622,49508755,segment_body,counterclockwise_loop
Step2,S2:767887__768622,49508759,segment_body,counterclockwise_loop
Step2,S2:767887__768622,49508760,segment_body,counterclockwise_loop
Step2,S2:767887__768622,505863884,segment_body,counterclockwise_loop
Step2,S2:767887__768622,612248590,segment_body,counterclockwise_loop
Step2,S2:767887__768622,71773929,segment_body,counterclockwise_loop
Step2,S2:767887__768622,997181,segment_body,counterclockwise_loop
Step2,S2:768622__768624,49508767,segment_body,counterclockwise_loop
Step2,S2:768622__768624,49508770,segment_body,counterclockwise_loop
Step2,S2:768622__768624,49508793,segment_body,counterclockwise_loop
Step2,S2:768622__768624,49508794,segment_body,counterclockwise_loop
Step2,S2:768622__768624,49508796,segment_body,counterclockwise_loop
