stage,pair_id,a_node_id,b_node_id,trunk_mode,left_turn_excluded_mode,segment_body_road_count,residual_road_count
Step2,S2:763111__767878,763111,767878,counterclockwise_loop,strict,7,0
Step2,S2:763111__767887,763111,767887,counterclockwise_loop,strict,6,0
Step2,S2:763111__768595,763111,768595,counterclockwise_loop,strict,4,1
Step2,S2:767738__768595,767738,768595,through_collapsed_corridor,strict,2,0
Step2,S2:767738__768622,767738,768622,counterclockwise_loop,strict,10,5
Step2,S2:767738__784886,767738,784886,counterclockwise_loop,strict,7,0
Step2,S2:767878__12823253,767878,12823253,counterclockwise_loop,strict,7,2
Step2,S2:767878__767887,767878,767887,counterclockwise_loop,strict,6,0
Step2,S2:767887__768622,767887,768622,counterclockwise_loop,strict,8,6
Step2,S2:768622__768624,768622,768624,counterclockwise_loop,strict,7,0
Step2,S2:768622__768639,768622,768639,counterclockwise_loop,strict,6,0
Step2,S2:768624__784886,768624,784886,counterclockwise_loop,strict,9,0
Step2,S2:768624__791719,768624,791719,counterclockwise_loop,strict,5,0
Step2,S2:768639__12823253,768639,12823253,counterclockwise_loop,strict,12,1
Step2,S2:768639__768671,768639,768671,counterclockwise_loop,strict,4,0
Step2,S2:768639__791719,768639,791719,counterclockwise_loop,strict,3,0
Step2,S2:768662__768669,768662,768669,counterclockwise_loop,strict,2,0
Step2,S2:768669__768671,768669,768671,counterclockwise_loop,strict,2,0
Step2,S2:784901__502866811,784901,502866811,counterclockwise_loop,strict,1,6
Step2,S2:785217__55225313,785217,55225313,counterclockwise_loop,strict,1,4
Step4,STEP4:25214957__58220088,25214957,58220088,counterclockwise_loop,strict,1,0
Step4,STEP4:40237137__55225270,40237137,55225270,counterclockwise_loop,strict,2,0
Step4,STEP4:502866811__603265172,502866811,603265172,counterclockwise_loop,strict,2,0
Step4,STEP4:55225313__55225316,55225313,55225316,counterclockwise_loop,strict,2,0
Step4,STEP4:763111__767881,763111,767881,through_collapsed_corridor,strict,4,0
Step4,STEP4:763927__505982281,763927,505982281,counterclockwise_loop,strict,3,0
Step4,STEP4:767010__26755593,767010,26755593,counterclockwise_loop,strict,1,0
Step4,STEP4:768632__505982281,768632,505982281,counterclockwise_loop,strict,2,0
Step4,STEP4:768634__505982281,768634,505982281,counterclockwise_loop,strict,2,0
Step4,STEP4:768641__768662,768641,768662,counterclockwise_loop,strict,1,0
Step4,STEP4:768643__768669,768643,768669,counterclockwise_loop,strict,2,0
Step4,STEP4:784901__40237259,784901,40237259,counterclockwise_loop,strict,2,0
Step4,STEP4:784901__788837,784901,788837,counterclockwise_loop,strict,1,0
Step4,STEP4:785217__40237227,785217,40237227,counterclockwise_loop,strict,2,0
Step4,STEP4:785217__608982775,785217,608982775,counterclockwise_loop,strict,3,0
Step4,STEP4:785324__502866811,785324,502866811,counterclockwise_loop,strict,2,0
Step4,STEP4:787129__55225228,787129,55225228,counterclockwise_loop,strict,1,0
Step4,STEP4:791102__55225234,791102,55225234,counterclockwise_loop,strict,1,0
Step4,STEP4:791719__12823263,791719,12823263,counterclockwise_loop,strict,2,0
Step5,STEP5B:14423413__502667880,14423413,502667880,counterclockwise_loop,strict,1,0
Step5,STEP5B:40237164__74463926,40237164,74463926,counterclockwise_loop,strict,1,0
Step5,STEP5B:40237194__40237213,40237194,40237213,counterclockwise_loop,strict,2,0
Step5,STEP5B:502667880__510667671,502667880,510667671,counterclockwise_loop,strict,1,0
Step5,STEP5B:55225239__55225241,55225239,55225241,counterclockwise_loop,strict,1,0
Step5,STEP5B:791713__512702572,791713,512702572,counterclockwise_loop,strict,1,0
Step5,STEP5B:792579__59642115,792579,59642115,counterclockwise_loop,strict,1,0
