case_id,swsd_segment_id,baseline_status,step2_reject_reason,failed_pair_nodes,failed_junc_nodes,group_audit_statuses,root_cause,current_relation_status,current_relation_reason,new_business_action,baseline_rcsd_road_count,resolved_rcsd_road_count,current_owner_types,current_owner_keys,connectivity_group_ids,segment_metric_effect,rcsd_road_metric_effect,closeout_status
1885118,12823661_47115438,replaced_outside_step2,missing_junc_relation,[],['604480244'],blocked_group_closure_incomplete,junc_anchor_incomplete,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,14,14,"[""single_segment""]","[""12823661_47115438"", ""1891589_12823661"", ""1898068_12823661"", ""1911653_47115438"", ""47115436_47115438""]",[],remove_baseline_outside_step2_success,ownership_only_no_outside_step2_segment_credit,closed
1885118,1517557_620058348,replaced_outside_step2,rcsd_not_bidirectional_for_swsd_dual,[],[],blocked_group_closure_incomplete,path_group_exceeds_1v1_or_directionality_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,7,7,"[""single_segment""]","[""1520851_14313766"", ""1520851_620058348""]",[],remove_baseline_outside_step2_success,ownership_only_no_outside_step2_segment_credit,closed
1885118,1534342_62397379,replaced_outside_step2,rcsd_not_bidirectional_for_swsd_dual,[],[],blocked_group_closure_incomplete,path_group_exceeds_1v1_or_directionality_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_connectivity_supplement_only,78,78,"[""multi_segment_connectivity"", ""single_segment""]","[""14313767_14313766"", ""1534334_1534342"", ""1534342_1888188"", ""1534342_62397379"", ""1537691_1537692"", ""1537693_1537699"", ""1537697_1537698"", ""1537699_1915019"", ""1888187_1888188"", ""1888187_47140897"", ""51810877_612652838"", ""62397379_501859233"", ""advance_right_ad1594f50f98e50d"", ""connectivity_d55543ef920172c6""]","[""connectivity_d55543ef920172c6""]",remove_baseline_outside_step2_success,connectivity_supplement_counts_road_only,closed
1885118,1537706_503658897,replaced_outside_step2,rcsd_not_bidirectional_for_swsd_dual,[],[],blocked_group_closure_incomplete,path_group_exceeds_1v1_or_directionality_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,16,16,"[""single_segment""]","[""1520797_1537706"", ""1520797_503658897"", ""1537706_503658897"", ""1537706_620337221"", ""1550786_503658897""]",[],remove_baseline_outside_step2_success,ownership_only_no_outside_step2_segment_credit,closed
1885118,1878482_1895041,replaced_outside_step2,rcsd_not_bidirectional_for_swsd_dual,[],[],blocked_group_closure_incomplete,path_group_exceeds_1v1_or_directionality_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,21,21,"[""single_segment""]","[""1878482_1878484"", ""1878482_1881808"", ""1878482_1895041"", ""1878484_1895049"", ""1895041_12823646"", ""1895041_1895049""]",[],remove_baseline_outside_step2_success,ownership_only_no_outside_step2_segment_credit,closed
1885118,1881727_1901362,replaced_outside_step2,rcsd_not_bidirectional_for_swsd_dual,[],[],candidate_group_closure_ready,path_group_exceeds_1v1_or_directionality_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_connectivity_supplement_only,24,24,"[""multi_segment_connectivity"", ""single_segment""]","[""1881727_1881736"", ""1881727_1901362"", ""1881727_40748737"", ""1881746_1901362"", ""1881752_513447688"", ""1921568_1921640"", ""1921568_47115701"", ""connectivity_f6445a9876d96550""]","[""connectivity_f6445a9876d96550""]",remove_baseline_outside_step2_success,connectivity_supplement_counts_road_only,closed
1885118,1885118_1915013,replaced_outside_step2,invalid_junc_relation_status,[],['1898198'],not_group_required_no_external_anchor,junc_anchor_incomplete,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,16,16,"[""single_segment""]","[""1885118_1885134"", ""1885118_1915013"", ""1915013_1921687"", ""1915013_25109387""]",[],remove_baseline_outside_step2_success,ownership_only_no_outside_step2_segment_credit,closed
1885118,1891685_604986046,replaced_outside_step2,rcsd_not_bidirectional_for_swsd_dual,[],[],blocked_group_closure_incomplete,path_group_exceeds_1v1_or_directionality_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,25,25,"[""single_segment""]","[""1891565_1898058"", ""1891570_604120135"", ""510658184_512269768"", ""510658184_604986046"", ""512269768_604120135""]",[],remove_baseline_outside_step2_success,ownership_only_no_outside_step2_segment_credit,closed
1885118,1895072_501614752,replaced_outside_step2,required_semantic_nodes_not_connected_in_buffer,[],[],blocked_group_closure_incomplete,required_topology_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,23,23,"[""multi_segment_connectivity"", ""single_segment""]","[""1895072_522639774"", ""501614752_509614322"", ""509614322_509669350"", ""advance_right_c3c944f4383c97ed"", ""connectivity_a4e7f9e677738781"", ""connectivity_d6e2662a58f1fd8f""]","[""connectivity_a4e7f9e677738781"", ""connectivity_d6e2662a58f1fd8f""]",remove_baseline_outside_step2_success,connectivity_supplement_counts_road_only,closed
1885118,1898056_603275431,replaced_outside_step2,rcsd_not_bidirectional_for_swsd_dual,[],[],blocked_group_closure_incomplete,path_group_exceeds_1v1_or_directionality_unresolved,retained_swsd,retained_swsd_segment,retain_swsd_segment_assign_rcsd_roads_by_ownership,7,7,"[""single_segment""]","[""12823661_47115438"", ""1891589_12823661"", ""1898068_12823661""]",[],remove_baseline_outside_step2_success,ownership_only_no_outside_step2_segment_credit,closed
